id,name,terminalName,latestUpdateTime,lastCommWithServer,lat,long,installed,locked,installDate,removalDate,temporary,public,nbBikes,nbEmptyDocks
"52","2nd Ave S & S 3rd Street","30050","1461529967311","1461534155006","44.97974","-93.26599","true","false","0","0","false","true","6","21"
"53","2nd Ave N & N 6th Street","30053","1461526250132","1461534227180","44.980536","-93.275626","true","false","0","0","false","true","10","13"
"54","Washington Ave S & 10th Ave S","30046","1461492141929","1461534332187","44.97654","-93.25535","true","false","0","0","false","true","6","13"
"55","Nicollet Ave & W 26th Street","30049","1446482969347","1446499114063","44.95618","-93.27796","false","true","0","0","false","true","0","3"
"56","7th Street & 4th Ave S","30051","1461492185772","1461534115837","44.97497","-93.266684","true","false","0","0","false","true","7","7"
"58","Target Field Station","30056","1461492053386","1461534255385","44.98412539004404","-93.27903807163239","true","false","0","0","false","true","8","11"
"59","Midtown Greenway & 5th Ave S","30054","1461533196698","1461534163250","44.950371","-93.269278","true","false","0","0","false","true","8","7"
"60","Malcolm Ave SE & 5th Street SE","30055","1461492238099","1461534151033","44.973371428373945","-93.21126401424408","true","false","0","0","false","true","9","14"
"61","McNamara Center","30057","1461533186425","1461534216615","44.9743","-93.22854","true","false","0","0","false","true","5","14"
"62","Elliot Hall","30058","1461526213017","1461534203778","44.97685","-93.23818","true","false","0","0","false","true","2","13"
"63","Elliot Park","30063","1461521905248","1461534278333","44.970553","-93.26079","true","false","0","0","false","true","4","11"
"64","W 31st Street & Hennepin Ave S","30061","1461528264823","1461534186336","44.946687","-93.29736","true","false","0","0","false","true","9","10"
"65","Nicollet & Franklin","30060","1461531106214","1461534336943","44.96342","-93.277939","true","false","0","0","false","true","11","12"
"66","28th Street & Nicollet Ave. S","30064","1461528783175","1461534276434","44.9519","-93.27831","true","false","0","0","false","true","7","8"
"67","Glenwood Ave & N Morgan Ave","30059","1461492216365","1461534257697","44.981147","-93.304427","true","false","0","0","false","true","6","9"
"68","Minneapolis Farmers Market","30062","1461492215573","1461534243242","44.98052","-93.28542","true","false","0","0","false","true","8","7"
"69","N Washington Ave & 9th Ave N","30065","1461492059771","1461534164103","44.98987910746303","-93.27978372573853","true","false","0","0","false","true","7","8"
"70","Wirth Beach","30066","1461492101778","1461534259485","44.9798","-93.322066","true","false","0","0","false","true","6","9"
"71","Bryant Ave N & West Broadway","30067","1461492267461","1461534260299","44.999341","-93.290941","true","false","0","0","false","true","5","10"
"72","Girard Ave N & W Broadway Ave","30068","1461529530214","1461534217504","44.99957","-93.297071","true","false","0","0","false","true","7","8"
